0,155,163,3,2
114,29,233,1,2
23,175,168,2,3
8,177,167,4,3
110,225,127,5,3
24,215,160,2,3
9,206,167,4,3
24,207,170,2,3
9,221,173,4,3
110,212,130,5,3
110,209,134,5,3
24,199,199,2,3
10,198,203,4,3
112,190,187,5,3
78,129,138,0,3
111,190,182,5,3
80,111,145,0,3
114,31,234,1,3
78,121,145,0,3
177,113,180,3,3
9,211,152,4,3
110,195,119,5,3
73,175,87,0,3
74,168,83,0,3
74,159,90,0,3
24,216,162,2,3
2,208,114,3,3
2,205,123,3,3
2,204,125,3,3
116,27,206,1,3
112,32,206,1,3
11,199,199,4,3
10,194,199,4,3
111,31,219,1,3
109,36,255,1,3
111,27,205,1,3
178,147,152,3,3
77,123,135,0,3
74,139,101,0,3
179,141,130,3,3
116,20,188,1,3
110,213,127,5,3
24,227,162,2,3
24,218,172,2,3
10,231,169,4,3
120,3,166,1,3
23,230,175,2,3
78,141,129,0,3
114,37,229,1,3
111,191,184,5,3
0,163,158,3,3
179,149,159,3,3
111,167,199,5,3
0,159,160,3,3
10,188,204,4,3
24,162,210,2,3
1,203,113,3,4
0,144,124,3,4
73,165,91,0,4
110,204,113,5,4
9,224,158,4,4
96,8,165,1,4
2,199,119,3,4
109,217,119,5,4
96,8,165,1,4
11,212,196,4,4
10,201,198,4,4
116,23,222,1,4
1,174,152,3,4
107,33,218,1,4
109,33,225,1,4
1,171,153,3,4
107,31,240,1,4
10,188,205,4,4
111,164,133,5,4
23,207,162,2,4
110,223,126,5,4
9,223,159,4,4
23,210,162,2,4
8,211,172,4,4
24,219,163,2,4
10,234,173,4,4
23,220,175,2,4
114,31,219,1,4
0,156,159,3,4
77,128,136,0,4
77,138,130,0,4
78,137,131,0,4
77,121,146,0,4
75,145,123,0,4
179,153,167,3,4
119,23,232,1,4
24,166,157,2,4
111,178,136,5,4
8,188,174,4,4
75,164,92,0,4
110,220,125,5,4
74,151,102,0,4
24,227,164,2,4
24,232,166,2,4
73,157,106,0,4
111,206,180,5,4
114,39,233,1,4
179,151,157,3,4
25,203,189,2,4
178,152,154,3,4
24,173,203,2,4
10,206,202,4,4
111,189,180,5,4
111,175,196,5,4
8,206,166,4,5
120,20,183,1,5
9,227,173,4,5
110,208,127,5,5
113,18,175,1,5
23,206,173,2,5
9,223,167,4,5
23,229,177,2,5
110,213,131,5,5
24,200,202,2,5
78,136,129,0,5
119,30,232,1,5
76,138,131,0,5
78,138,131,0,5
177,145,163,3,5
11,214,211,4,5
78,128,138,0,5
78,121,146,0,5
113,18,172,1,5
113,23,174,1,5
116,20,178,1,5
2,196,121,3,5
110,209,127,5,5
75,143,105,0,5
1,215,129,3,5
110,215,126,5,5
24,219,171,2,5
111,205,166,5,5
11,204,199,4,5
24,203,205,2,5
1,162,157,3,5
10,198,205,4,5
105,33,255,1,5
0,157,162,3,5
110,186,181,5,5
178,140,169,3,5
77,125,108,0,5
116,26,184,1,5
77,126,110,0,5
10,226,158,4,5
1,188,122,3,5
0,176,131,3,5
73,164,95,0,5
10,236,162,4,5
110,218,132,5,5
25,201,197,2,5
10,199,197,4,5
111,193,187,5,5
25,199,195,2,5
25,192,197,2,5
25,163,203,2,5
0,171,155,3,5
111,170,185,5,5
112,39,240,1,5
179,169,120,3,6
9,210,157,4,6
179,148,133,3,6
110,215,122,5,6
24,212,161,2,6
1,180,129,3,6
109,12,168,1,6
111,15,171,1,6
103,7,176,1,6
25,206,189,2,6
1,164,147,3,6
111,193,178,5,6
111,192,171,5,6
10,200,198,4,6
10,189,211,4,6
76,138,131,0,6
107,39,255,1,6
24,166,211,2,6
116,22,173,1,6
8,207,160,4,6
75,165,94,0,6
24,212,161,2,6
1,193,123,3,6
24,203,167,2,6
