116,53,247,1,2
27,243,151,2,2
75,179,108,0,2
75,158,130,0,2
27,255,143,2,2
71,172,110,0,2
26,244,211,2,2
179,182,181,3,2
112,228,224,5,2
78,160,128,0,2
26,221,245,2,2
179,189,173,3,2
112,228,204,5,2
13,246,252,4,2
13,244,230,4,2
26,236,209,2,2
75,190,82,0,3
0,207,126,3,3
112,232,189,5,3
74,187,97,0,3
110,33,206,1,3
1,195,153,3,3
71,193,90,0,3
71,166,117,0,3
2,201,160,3,3
12,233,236,4,3
113,226,211,5,3
78,161,125,0,3
75,159,157,0,3
0,188,175,3,3
112,229,187,5,3
111,23,255,1,3
12,238,228,4,3
26,231,209,2,3
1,218,103,3,3
25,233,165,2,3
11,240,183,4,3
26,243,147,2,3
11,243,168,4,3
112,233,167,5,3
26,248,139,2,3
109,12,175,1,3
113,20,205,1,3
25,215,226,2,3
117,46,251,1,3
112,230,183,5,3
114,30,255,1,3
75,158,138,0,3
114,38,235,1,3
73,156,154,0,3
12,235,228,4,3
112,232,174,5,3
27,225,161,2,3
112,237,170,5,3
12,241,200,4,3
27,236,160,2,3
112,234,167,5,3
12,234,206,4,3
95,18,169,1,3
11,245,173,4,3
112,28,222,1,3
112,226,246,5,3
179,185,164,3,3
12,236,207,4,3
76,155,159,0,3
26,228,231,2,3
27,225,209,2,3
0,181,203,3,3
1,183,183,3,3
1,194,167,3,3
114,243,107,5,4
10,246,143,4,4
26,233,172,2,4
113,234,109,5,4
11,245,153,4,4
12,241,184,4,4
2,232,88,3,4
113,236,121,5,4
103,11,192,1,4
0,182,182,3,4
113,48,255,1,4
26,223,204,2,4
26,222,240,2,4
75,162,143,0,4
111,30,225,1,4
1,186,191,3,4
110,27,244,1,4
111,229,182,5,4
111,47,176,1,4
1,211,109,3,4
26,236,169,2,4
27,248,145,2,4
113,242,142,5,4
74,166,115,0,4
72,200,70,0,4
2,223,119,3,4
112,239,165,5,4
112,230,229,5,4
12,237,213,4,4
78,161,125,0,4
26,225,233,2,4
27,229,216,2,4
12,245,204,4,4
13,245,239,4,4
27,234,215,2,4
107,33,235,1,4
10,230,170,4,4
179,192,135,3,4
119,43,249,1,4
72,184,101,0,4
111,32,206,1,4
116,33,237,1,4
70,193,82,0,4
112,234,146,5,4
12,244,203,4,4
12,228,247,4,4
78,154,141,0,4
26,218,199,2,4
0,178,199,3,4
0,186,181,3,4
112,228,194,5,4
74,153,163,0,4
73,153,155,0,4
0,188,172,3,4
11,240,151,4,5
179,207,123,3,5
178,190,146,3,5
108,45,193,1,5
1,204,131,3,5
13,244,208,4,5
11,253,159,4,5
111,236,159,5,5
1,203,162,3,5
112,230,237,5,5
27,226,202,2,5
112,232,191,5,5
26,233,234,2,5
27,237,208,2,5
12,246,194,4,5
27,238,232,2,5
13,249,215,4,5
74,165,128,0,5
114,43,185,1,5
0,202,126,3,5
113,236,174,5,5
1,218,109,3,5
114,32,193,1,5
114,29,214,1,5
10,252,158,4,5
71,179,108,0,5
72,155,125,0,5
25,214,238,2,5
25,215,217,2,5
77,152,124,0,5
74,150,159,0,5
75,157,143,0,5
116,40,242,1,5
25,219,249,2,5
112,225,201,5,5
0,196,162,3,5
75,183,84,0,5
26,225,160,2,5
115,49,220,1,5
74,198,90,0,5
113,238,152,5,5
0,193,144,3,5
87,15,151,1,5
71,186,107,0,5
25,239,194,2,5
112,228,233,5,5
12,231,216,4,5
12,236,205,4,5
112,218,225,5,5
12,235,228,4,5
114,40,240,1,5
