1,0,0,0,0,0,0,0,0,0.09,0.9125,0,0,1,0,0,27,237,153,2,1
0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,110,33,195,1,1
0.975,0,0,0,0,0.025,0,0,0,0.97,0.035,0,0,1,0,0,0,192,155,3,1
1,0,0,0,0,0,0,0,0,0.05,0.95,0,0,1,0,0,27,251,139,2,1
0,0,0,1,0,0,0,0,0,0.14,0.8675,0,0,1,0,0,112,231,139,5,1
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.045,0.9825,111,24,214,1,1
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,114,28,255,1,1
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,78,161,136,0,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,26,219,195,2,1
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,111,27,255,1,1
0.7025,0,0,0,0,0.2975,0,0,0,1,0,0,0,1,0,0,0,187,169,3,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.98,0.04,26,223,202,2,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,182,191,3,1
1,0,0,0,0,0,0,0,0,0.005,0.995,0,0,0,0,1,26,224,224,2,1
0,0,0,1,0,0,0,0,0,0.0125,0.9875,0,0,0.4425,0.6375,0,111,228,184,5,1
0,0,0,1,0,0,0,1,0,0,0,0,0,0.9875,0.025,0,112,37,174,1,2
1,0,0,0,0,0,0,0,0,0.05,0.9525,0,0,0.9925,0.035,0,11,234,172,4,2
1,0,0,0,0,0,0,0,0,0,1,0,0,0.0025,1,0,11,239,192,4,2
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11,245,153,4,2
1,0,0,0,0,0,0,0,0,0,1,0,0,0.705,0.3675,0,11,242,177,4,2
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,74,162,120,0,2
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,26,248,149,2,2
0.9975,0,0,0,0,0.0025,0,0,0,0,1,0,0,1,0,0,1,212,131,3,2
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.0125,0,111,233,174,5,2
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,112,227,235,5,2
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0025,0.9975,115,46,255,1,2
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,77,155,135,0,2
0.95,0,0,0,0,0.05,0,0,0,1,0,0,0,0,1,0,0,180,190,3,2
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,220,232,2,2
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,114,37,244,1,2
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,107,19,255,1,2
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.88,0.165,111,226,204,5,2
0,0,0,1,0,0,0,0,0,0,1,0,0,0.2625,0.775,0,111,229,185,5,2
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,74,182,94,0,2
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,75,172,110,0,2
0.925,0,0,0,0,0.075,0,0,0,0.525,0.645,0,0,1,0,0,0,199,141,3,2
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,218,118,3,2
0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,109,30,197,1,2
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,26,229,197,2,2
0,0,0,1,0,0,0,0,0,0.005,0.995,0,0,1,0,0,113,246,107,5,2
1,0,0,0,0,0,0,0,0,0.015,0.9975,0,0,0.8175,0.2375,0,11,246,173,4,2
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.1975,0.87,116,18,211,1,2
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,76,154,150,0,2
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,113,46,255,1,2
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.9275,0.09,12,236,202,4,2
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,111,226,226,5,2
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.6625,0.4375,112,229,209,5,2
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,113,40,240,1,2
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,185,197,3,2
1,0,0,0,0,0,0,0,0,1,0,0,0,0.37,0.845,0,1,189,181,3,2
0.9975,0,0,0,0,0.0025,0,0,0,0.655,0.4475,0,0,1,0,0,1,198,166,3,2
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11,240,154,4,2
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,26,224,168,2,2
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,116,53,247,1,2
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,27,243,151,2,2
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,75,179,108,0,2
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,75,158,130,0,2
